numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
83799;189;2017-08-23;1011420136;2;;178;10809;6.00;;;;;;LIBERADO;
82799;189;2017-08-18;1011140109;3;;178;211114;0.20;;;;;;LIBERADO;
82919;197;2017-08-19;1011140109;3;;197;251001;0.16;;;;;;LIBERADO;
83569;3;2017-08-23;1015000174;3;;0;10102;1.00;;;;;;LIBERADO;
83589;189;2017-08-23;1017450100;10;;178;10100;1.00;;;;;;LIBERADO;
83849;197;2017-08-24;1017450100;10;;197;251041;0.40;;;;;;LIBERADO;
82629;189;2017-08-17;1012610125;3;;178;221003;0.60;;;;;;LIBERADO;
82629;189;2017-08-17;1012610125;3;;178;221001;0.60;;;;;;LIBERADO;
83539;3;2017-08-22;1014790180;2;;34;211114;0.10;;;;;;LIBERADO;
83539;3;2017-08-22;1014790180;2;;34;251041;0.35;;;;;;LIBERADO;
83529;3;2017-08-22;1014790180;2;;0;10100;0.70;;;;;;LIBERADO;
82169;51;2017-08-15;1018580198;11;;0;10100;0.70;;;;;;LIBERADO;
84179;176;2017-08-26;1007760190;6;;176;211114;0.10;;;;;;LIBERADO;
84179;176;2017-08-26;1007760190;6;;176;10100;0.70;;;;;;LIBERADO;
84229;197;2017-08-28;1007760190;6;;197;251041;0.40;;;;;;LIBERADO;
84079;197;2017-08-25;1019390198;15;;197;251041;0.40;;;;;;LIBERADO;
82139;51;2017-08-15;1014090366;2;;35;211114;0.10;;;;;;LIBERADO;
82109;197;2017-08-15;1014090366;2;;197;251001;0.16;;;;;;LIBERADO;
82099;51;2017-08-15;1014090366;2;;0;10100;0.70;;;;;;LIBERADO;
83309;189;2017-08-21;1012300100;3;;178;10100;1.00;;;;;;LIBERADO;
84249;17;2017-08-26;1009280136;6;;17;10100;0.70;;;;;;LIBERADO;
82119;197;2017-08-15;1015120153;6;NEGATIVA DE AUTORIZACAO;197;251001;0.16;;;;;;RECUSADO;
