grupo_id;plano_id;dias_carencia;quantidade_usos;liberacao_automatica;valor_desconto
10102;10;30;3;0;0
20100;10;30;3;0;0
23100;10;30;3;0;0
10200;6;60;3;0;0
26100;6;60;3;0;0
11999;8;60;3;0;0
10102;9;60;3;0;0
23100;9;60;3;0;0
10200;10;60;3;0;0
26100;10;60;3;0;0
22100;11;60;3;0;0
11999;12;60;3;0;0
11999;15;60;3;0;0
20100;15;60;3;0;0
26100;15;60;3;0;0
26100;16;60;3;0;0
20100;19;60;3;0;0
26100;20;60;3;0;0
26100;21;60;3;0;0
22100;10;90;3;0;0
10102;15;90;3;0;0
10102;16;90;3;0;0
10200;16;90;3;0;0
22100;17;90;3;0;0
22100;18;90;3;0;0
10102;19;90;3;0;0
22100;19;90;3;0;0
26100;19;90;3;0;0
10102;20;90;3;0;0
10200;20;90;3;0;0
11999;20;90;3;0;0
22100;20;90;3;0;0
10102;21;90;3;0;0
22100;21;90;3;0;0
22100;12;30;4;0;0
10100;13;30;4;0;0
10100;14;30;4;0;0
21111;14;30;4;0;0
21111;18;30;4;0;0
23100;18;30;4;0;0
23100;14;60;4;0;0
11999;16;60;4;0;0
99900;7;2;5;0;0
99900;11;2;5;0;0
21111;6;30;5;0;0
20100;7;30;5;0;0
23100;7;30;5;0;0
21111;10;30;5;0;0
20100;11;30;5;0;0
23100;11;30;5;0;0
10100;21;30;5;0;0
10200;7;60;5;0;0
26100;7;60;5;0;0
10200;11;60;5;0;0
26100;11;60;5;0;0
20100;16;60;5;0;0
20100;20;60;5;0;0
10100;10;30;6;0;0
10100;15;30;6;0;0
21111;15;30;6;0;0
10100;16;30;6;0;0
21111;16;30;6;0;0
10100;17;30;6;0;0
10100;18;30;6;0;0
10100;19;30;6;0;0
21111;19;30;6;0;0
23100;19;30;6;0;0
10100;20;30;6;0;0
21111;20;30;6;0;0
23100;20;30;6;0;0
10100;9;60;6;0;0
23100;15;60;6;0;0
23100;16;60;6;0;0
99900;8;2;7;0;0
21111;7;30;7;0;0
20100;8;30;7;0;0
23100;8;30;7;0;0
21111;11;30;7;0;0
10200;8;60;7;0;0
26100;8;60;7;0;0
21111;8;30;9;0;0
21111;12;30;9;0;0
11300;19;120;99999;0;0
10100;7;2;99999;0;0
10100;8;2;99999;0;0
10100;11;2;99999;0;0
10100;12;2;99999;0;0
99900;12;2;99999;0;0
10100;1;30;99999;0;0
11999;1;30;99999;0;0
21111;1;30;99999;0;0
21111;2;30;99999;0;0
21111;3;30;99999;0;0
21111;4;30;99999;0;0
10100;6;30;99999;0;0
10102;6;30;99999;0;0
10102;7;30;99999;0;0
10102;8;30;99999;0;0
10102;11;30;99999;0;0
10102;12;30;99999;0;0
20100;12;30;99999;0;0
23100;12;30;99999;0;0
21111;13;30;99999;0;0
99911;3;360;99999;0;0
99911;4;360;99999;0;0
23100;1;60;99999;0;0
99900;1;60;99999;0;0
10100;2;60;99999;0;0
11300;2;60;99999;0;0
11999;2;60;99999;0;0
20100;2;60;99999;0;0
22100;2;60;99999;0;0
23100;2;60;99999;0;0
99900;2;60;99999;0;0
10100;3;60;99999;0;0
11300;3;60;99999;0;0
11999;3;60;99999;0;0
20100;3;60;99999;0;0
22100;3;60;99999;0;0
23100;3;60;99999;0;0
99900;3;60;99999;0;0
10100;4;60;99999;0;0
11300;4;60;99999;0;0
11999;4;60;99999;0;0
20100;4;60;99999;0;0
22100;4;60;99999;0;0
23100;4;60;99999;0;0
99900;4;60;99999;0;0
11300;6;60;99999;0;0
11300;7;60;99999;0;0
11300;8;60;99999;0;0
11300;10;60;99999;0;0
11300;11;60;99999;0;0
10200;12;60;99999;0;0
11300;12;60;99999;0;0
26100;12;60;99999;0;0
10102;1;90;99999;0;0
10102;2;90;99999;0;0
10200;2;90;99999;0;0
26100;2;90;99999;0;0
99907;2;90;99999;0;0
99909;2;90;99999;0;0
10102;3;90;99999;0;0
10200;3;90;99999;0;0
26100;3;90;99999;0;0
99907;3;90;99999;0;0
