id_procedimento;id_plano;observ acoes
251087;4;
2510127;4;
2510103;4;
2510104;4;
2510107;4;
2510105;4;
2510106;4;
2510102;4;
261052;4;
10104;4;
10105;4;
99903;4;
20101;4;
20108;4;
10809;4;
20105;4;
20106;4;
10426;4;
10502;4;
10503;4;
10618;4;
10612;4;
10615;4;
10613;4;
10620;4;
10616;4;
10611;4;
10614;4;
10608;4;
10609;4;
10610;4;
10621;4;
10619;4;
10604;4;
10622;4;
10601;4;
10602;4;
10603;4;
10617;4;
10623;4;
10607;4;
10701;4;
10702;4;
10703;4;
10704;4;
10705;4;
10606;4;
10605;4;
10706;4;
20107;4;
10815;4;
261053;4;
261034;4;
261035;4;
261040;4;
261037;4;
261038;4;
261041;4;
261042;4;
261039;4;
261036;4;
261015;4;
261003;4;
261004;4;
261009;4;
261007;4;
261008;4;
261012;4;
261011;4;
261001;4;
261002;4;
261010;4;
261013;4;
261016;4;
261006;4;
261005;4;
261014;4;
261018;4;
261020;4;
261022;4;
261017;4;
261024;4;
261023;4;
261025;4;
261019;4;
261026;4;
261028;4;
261032;4;
261027;4;
261031;4;
261030;4;
261029;4;
261051;4;
15184;4;
99904;4;
221004;5;
221002;5;
221001;5;
221003;5;
251041;5;
211114;5;
10100;5;
10102;5;
211112;5;
221004;6;
221002;6;
221001;6;
221003;6;
251041;6;
251001;6;
251002;6;
211114;6;
211113;6;
10203;6;
10206;6;
10201;6;
10204;6;
10202;6;
10205;6;
10315;6;
10307;6;
10306;6;
10309;6;
10322;6;
10320;6;
10321;6;
10324;6;
10325;6;
10327;6;
10316;6;
10312;6;
10418;6;
10409;6;
10425;6;
10413;6;
10414;6;
10417;6;
10803;6;
10804;6;
10902;6;
10903;6;
10904;6;
11005;6;
11004;6;
11201;6;
11202;6;
11302;6;
11303;6;
11301;6;
11307;6;
20102;6;
20103;6;
20104;6;
99913;6;
251017;6;
251018;6;
251019;6;
251020;6;
251021;6;
251022;6;
251023;6;
251024;6;
251025;6;
251027;6;
251026;6;
251029;6;
251030;6;
251031;6;
251028;6;
251033;6;
251034;6;
251035;6;
251037;6;
251036;6;
251038;6;
251039;6;
251040;6;
251010;6;
10326;6;
10410;6;
10805;6;
10807;6;
10813;6;
11101;6;
11102;6;
271012;6;
271007;6;
10310;6;
10411;6;
251032;6;
251007;6;
99912;6;
10424;6;
11205;6;
2510117;6;
2510118;6;
2510110;6;
2510135;6;
2510121;6;
2510119;6;
2510116;6;
2510115;6;
2510120;6;
10812;6;
10810;6;
10811;6;
10100;6;
10102;6;
211112;6;
10314;6;
10302;6;
10311;6;
10317;6;
10323;6;
10329;6;
10420;6;
10421;6;
10423;6;
10419;6;
251062;6;
251049;6;
10501;6;
10814;6;
11203;6;
261083;6;
261084;6;
261085;6;
261043;6;
261093;6;
271009;6;
251003;6;
10318;6;
11304;6;
251063;6;
251064;6;
10806;6;
10808;6;
10104;6;
10105;6;
20101;6;
20108;6;
10809;6;
20105;6;
221004;7;
221002;7;
221001;7;
221003;7;
251041;7;
251001;7;
251002;7;
211114;7;
211113;7;
10203;7;
10206;7;
10201;7;
10204;7;
10202;7;
10205;7;
10315;7;
10307;7;
10306;7;
10309;7;
10322;7;
10320;7;
10321;7;
10324;7;
