competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2016/11;10/11/2016;04/11/2016;89,9;89,9;1007690043
2017/01;10/01/2017;10/01/2017;89,9;89,9;1007690043
2017/01;10/01/2017;06/01/2017;89,9;89,9;1007700022
2017/05;18/05/2017;18/05/2017;89,9;99,12;1007700022
2017/06;10/06/2017;05/06/2017;89,9;89,9;1007700022
2016/10;10/10/2016;10/10/2016;89,9;89,9;1007700022
2017/02;10/02/2017;01/02/2017;89,9;89,9;1007700022
2017/03;10/03/2017;10/03/2017;80,91;80,91;1007700022
2016/12;10/12/2016;05/12/2016;89,9;89,9;1007700022
2017/04;10/04/2017;05/04/2017;89,9;89,9;1007700022
2016/11;10/11/2016;08/11/2016;89,9;89,9;1007700022
2017/07;15/08/2017;15/08/2017;89,9;89,9;1007700022
2017/08;10/08/2017;09/08/2017;89,9;89,9;1007700022
2016/10;19/10/2016;07/11/2016;89,9;99,4;1007710095
2016/11;25/11/2016;07/12/2016;89,9;99,25;1007720058
2017/05;25/05/2017;05/06/2017;89,9;99,21;1007720058
2017/04;25/04/2017;26/04/2017;89,9;98,91;1007720058
2017/03;25/03/2017;04/04/2017;89,9;99,19;1007720058
2016/12;05/01/2017;09/01/2017;89,9;99,34;1007720058
2016/10;25/10/2016;31/10/2016;89,9;99,01;1007720058
2017/02;25/02/2017;07/03/2017;89,9;99,19;1007720058
2017/06;25/06/2017;07/07/2017;89,9;99,24;1007720058
2017/01;25/01/2017;14/02/2017;89,9;99,49;1007720058
2017/07;25/07/2017;01/08/2017;89,9;99,09;1007720058
2016/09;30/09/2016;30/09/2016;194,88;194,88;1007730011
2017/01;30/09/2016;30/09/2016;194,88;194,88;1007730011
2017/05;10/11/2016;10/11/2016;194,88;194,88;1007730011
2017/06;10/06/2017;12/06/2017;89,9;89,9;1007740083
2017/02;14/02/2017;14/02/2017;159,8;159,8;1007740083
2017/03;27/03/2017;27/03/2017;159,8;159,8;1007740083
2016/10;18/10/2016;18/10/2016;159,8;159,8;1007740083
2017/05;10/05/2017;05/05/2017;159,8;159,8;1007740083
2016/12;10/12/2016;08/12/2016;159,8;159,8;1007740083
2017/07;13/07/2017;12/07/2017;89,9;89,9;1007740083
2016/11;10/11/2016;08/11/2016;159,8;159,8;1007740083
2017/04;10/04/2017;05/04/2017;159,8;159,8;1007740083
2017/01;10/01/2017;10/01/2017;159,8;159,8;1007740083
2017/08;10/08/2017;07/08/2017;89,9;89,9;1007740083
2016/10;30/09/2016;30/09/2016;359,6;359,6;1007750046
2017/02;25/10/2016;24/10/2016;287,68;287,68;1007750046
2017/06;29/11/2016;29/11/2016;287,68;293,8;1007750046
2016/10;30/09/2016;30/09/2016;359,6;359,6;1007770071
2017/02;25/10/2016;25/10/2016;287,68;287,68;1007770071
2017/06;25/11/2016;24/11/2016;287,68;287,68;1007770071
2017/01;25/01/2017;13/01/2017;279,8;279,8;1007780034
2016/11;25/11/2016;21/11/2016;179,8;179,8;1007780034
2017/05;25/05/2017;16/05/2017;329,8;329,8;1007780034
2017/04;25/04/2017;11/04/2017;279,8;279,8;1007780034
2017/03;25/03/2017;23/03/2017;251,82;251,82;1007780034
2016/12;25/12/2016;23/12/2016;189,9;189,9;1007780034
2016/10;25/10/2016;25/10/2016;279,8;279,8;1007780034
2016/10;25/10/2016;25/10/2016;279,8;279,8;1007780034
2017/02;25/02/2017;15/02/2017;329,8;329,8;1007780034
2017/06;25/06/2017;21/06/2017;304,8;304,8;1007780034
2017/08;25/08/2017;28/07/2017;4608;4608;1007780034
2017/07;25/07/2017;21/07/2017;669,8;669,8;1007780034
2017/06;10/06/2017;28/06/2017;89,9;99,8;1007810049
2017/02;03/03/2017;06/03/2017;89,9;99,61;1007810049
2017/03;03/04/2017;04/04/2017;89,9;99,64;1007810049
2016/10;10/10/2016;18/10/2016;89,9;99,13;1007810049
2017/05;10/05/2017;10/05/2017;89,9;89,9;1007810049
2017/04;03/05/2017;03/05/2017;89,9;99,57;1007810049
2016/12;10/12/2016;09/12/2016;89,9;89,9;1007810049
2017/07;28/07/2017;28/07/2017;89,9;99,42;1007810049
2016/11;10/11/2016;10/11/2016;89,9;89,9;1007810049
2017/01;10/01/2017;16/01/2017;89,9;99,01;1007810049
2017/08;23/08/2017;23/08/2017;89,9;99,27;1007810049
2016/11;25/11/2016;22/11/2016;329,7;329,7;1007820010
2016/12;25/12/2016;12/12/2016;329,7;329,7;1007820010
2016/10;25/10/2016;24/10/2016;329,7;329,7;1007820010
2017/02;25/02/2017;15/02/2017;329,7;329,7;1007820010
2017/03;25/03/2017;21/03/2017;2933,58;2933,58;1007820010
2017/01;25/01/2017;19/01/2017;329,7;329,7;1007820010
2016/10;13/10/2016;13/10/2016;89,9;98,98;1007830074
2016/11;05/12/2016;05/12/2016;89,9;99,64;1007830074
2017/06;10/06/2017;12/06/2017;129,9;129,9;1007840037
2017/02;10/02/2017;09/02/2017;89,9;89,9;1007840037
2017/03;10/03/2017;08/03/2017;89,9;89,9;1007840037
2017/04;10/04/2017;10/04/2017;129,9;129,9;1007840037
2016/10;10/10/2016;11/10/2016;89,9;98,92;1007840037
