numero_guia;id_procedimento
57519;251041
57519;211114
57639;211114
57639;261080
58039;261044
58059;261055
58659;261055
58659;251041
58659;211114
58639;211114
58639;251041
58639;251037
60699;2510139
62369;251041
62369;211114
64689;261044
65919;2510116
65919;211114
65919;2510115
65929;2510110
67219;261055
68179;2510117
72019;261044
72019;211114
72019;251041
73759;271011
73789;251040
73789;251026
73789;251030
73789;261044
73909;11304
73909;20102
73909;11203
74609;11303
74609;271016
74899;11304
74899;271013
75469;211113
75639;2510117
76249;211114
76249;251001
77109;261044
79759;211114
79759;251001
80489;261055
82019;251097
82019;211114
83699;10811
1929;251051
1929;211113
6899;2510110
6899;2510139
6939;2510112
6939;211114
7109;251001
9669;261080
19679;2510110
19679;211114
19679;251001
28479;221001
28479;221002
28489;221001
28489;221002
39429;10811
8999;11301
8999;10809
8999;20102
38249;20101
14549;221003
30549;11303
78479;211113
31429;251026
31429;251040
31429;251018
31429;251001
9499;221003
17729;251030
17729;251017
17729;251018
17729;251001
17729;251037
0;10102
0;211114
0;251040
0;251026
18449;20101
35109;251030
35109;251041
35109;211114
37519;10811
38649;251001
38649;211114
41039;251041
41039;211113
41039;211114
45189;251097
45189;211114
47339;10505
48929;211114
48929;251041
48939;211113
49369;211112
58369;251041
58369;211114
58369;211113
63689;251041
72899;211113
76049;251041
76049;211114
76049;251030
77499;261043
77589;261084
77599;261043
79409;20101
79679;20101
83939;211114
83939;251041
83959;20101
54679;251001
54679;211114
55899;211114
55899;251019
55899;251029
58109;211114
58109;251001
67409;10811
10719;221003
10719;221001
31999;251041
31999;211114
33729;211114
33729;251001
37669;251041
37669;211114
39549;10811
39709;10809
40429;211113
43059;211114
43059;251001
43069;211113
43759;10809
43829;10809
44549;20103
44549;11302
44549;11203
47399;2510111
55599;251009
56369;10810
56289;10811
77379;11203
77379;20103
49739;251041
49739;211114
49769;211114
49769;251041
50329;10811
59589;211114
59589;251041
63209;2510121
63209;271009
63209;211114
63219;271009
63219;211114
64799;2510110
64799;2510115
64799;211114
74739;211113
80719;10811
82519;211113
29249;251001
67329;251041
67329;211114
81079;211113
2399;10100
2409;10100
2459;10100
3659;10100
5379;10100
7689;10100
7969;10100
12969;10102
14199;10100
15779;10100
15789;10100
17309;10104
18059;10100
18059;211114
18309;10100
25159;10100
25339;10100
29969;10104
30609;10100
31219;10100
32299;10100
33049;10100
33879;10100
34059;10100
35609;211113
35859;10100
36269;10100
36349;10100
36359;10100
36369;10100
36559;10100
36619;10100
37169;10102
37299;10104
37699;10100
38209;10100
38259;10100
38269;10100
38809;10100
39309;10100
39579;10100
41009;10100
41519;10100
41869;10100
41929;10105
42059;10100
42309;10100
42839;10100
44379;211113
45629;10105
46339;10100
46689;10100
46849;10100
46899;10100
47319;10100
47649;10100
47839;10104
47859;10104
48669;10100
48779;10100
48919;10100
49469;10100
49709;10100
49779;10100
49799;10100
49829;10100
49579;10100
50109;211113
50979;10100
51179;10100
51759;10100
52929;10100
53349;10105
53389;10105
53459;10100
54899;10100
55019;10105
55179;10100
55239;10100
55339;10100
56109;211113
56789;10105
56989;211113
58379;10105
59159;10100
60049;10100
60079;10102
60319;211113
60659;10100
60669;10100
61719;10100
62419;10100
63329;10100
63349;10100
64269;10100
65129;10100
65809;10100
68659;10109
68679;10109
70069;10109
70939;10100
71649;10105
71979;10104
72199;10102
73649;10100
75699;10102
75749;10100
75769;10100
76639;10100
78469;10100
78519;10105
78799;10100
79539;10100
79569;10100
79589;10100
79729;10100
80839;10100
81689;10100
81829;10100
81999;10100
82029;10100
82239;10100
82559;10100
83079;10109
83819;10100
16869;221001
16869;221002
20309;221003
28649;221003
28649;221001
9239;251041
9379;251001
9389;221002
18779;261080
28299;10811
16819;251077
18959;221001
18959;221003
19879;251053
19879;211114
19879;251025
19879;251033
19879;251019
19909;211114
19909;251051
19989;251039
19989;251053
19989;211114
19989;251033
19989;251025
9359;10100
32509;10100
44459;10100
75389;10100
1999;261055
1999;11301
1999;271016
1999;251001
1999;251046
3109;261015
3109;261014
4599;271012
13569;261055
13569;211114
13569;251001
13589;20102
13589;11301
13589;10802
14499;211114
14499;251001
17769;20104
17769;11303
17769;10324
24779;20102
24779;11301
24779;10811
34229;20102
34229;11301
34229;10324
34239;261055
36129;211113
36129;271012
36869;211114
40269;211114
40409;211112
40409;11303
42759;211114
42979;211114
45859;211114
48019;251001
49169;211114
50079;261043
50719;211114
51339;10811
52579;211114
52689;251075
52689;251001
52999;211114
53229;20101
53969;251001
53969;211114
63919;261043
66039;261055
66149;211114
6614967889;211114
72459;10811
73559;20101
73639;251088
74069;10811
74069;20105
74079;261055
76229;261055
77039;211113
78099;211114
78939;211112
78939;211114
80309;20101
80319;20108
80419;20101
80439;211113
80739;10811
80949;10424
80949;20105
81129;211114
81329;211113
81539;211114
83249;211114
969;251001
1649;251001
1949;261043
2779;251001
2779;251066
4229;261043
4249;251055
4249;251062
4409;261043
4669;251062
4669;251001
4669;261055
4669;211114
6389;251062
6389;251001
6389;211114
6409;221001
7149;251062
7149;261055
7149;251001
7149;211114
7159;251001
7159;211114
7159;261055
7389;251062
8529;271012
8529;10100
9649;251001
9929;251062
10299;211114
10299;251001
10479;221002
11539;2510120
12339;261043
12379;20101
12389;10408
13879;20101
14619;251001
14619;211114
18879;251001
18879;251041
28919;10101010
29959;271009
9699;221003
16919;261043
18819;221001
20539;261055
22219;221001
22219;221002
24329;20101
30379;20101
35749;11301
35749;211112
42669;211114
13259;251001
13259;211114
13559;221004
13839;271012
16939;261043
19959;251001
19959;251026
19959;251040
19959;2510110
19969;20101
19999;251001
19999;211114
20769;251035
20769;251030
21699;221003
24249;251088
27569;251001
27569;251062
27569;211114
27569;2510117
30849;221003
32729;211114
32829;211114
14839;221001
19669;10807
35819;271012
38689;211114
959;10105
959;211114
1389;261024
1389;211112
2929;211114
3099;10100
10469;10102
19809;10100
23009;10100
25259;10100
30309;211114
33149;10104
33379;10102
35679;10100
36119;10102
36529;10100
37789;10100
37809;10100
40389;10100
40479;10100
41599;10100
42349;10100
42959;10100
43169;10100
47809;10109
48659;10100
48829;10100
53119;10100
55649;10100
56909;10105
60329;10109
61949;10100
65149;10104
66949;10100
70259;10100
70609;10100
72329;10100
73489;10104
75199;10100
77919;211113
78089;10100
80809;10100
80929;10100
81339;10100
81799;10100
82709;10104
83179;10100
83189;10100
8279;2510121
8329;2510121
28339;10101010
78309;251001
27409;20101
65969;10105
14909;211114
17449;10101010
36179;251001
42699;211114
46299;20102
46299;11301
47289;251041
25409;251001
25429;251001
29629;2510139
38349;10105
38349;211114
43459;251024
43459;251035
43459;251020
43459;251018
43459;251040
0;251001
0;251029
0;251026
48149;11303
8819;211114
14899;10100
17429;10102
11689;251041
11689;211114
33399;211114
69929;211113
69929;10100
69929;211114
23399;221001
29169;211114
8179;221001
13079;221001
19349;221001
19349;221002
22829;20102
22829;211113
22829;10811
22829;10815
31679;10811
31679;211113
31759;10811
32269;10811
33299;211114
36689;10811
36689;211113
37079;10811
37079;211113
52159;261055
62269;211114
77219;251020
15009;211114
15009;10100
15009;211112
32849;10100
52859;10100
53129;10100
77519;10100
84059;10100
1709;2510121
1689;2510120
19929;10811
19929;20102
19929;211113
59759;211114
45259;251041
80239;211114
65399;211114
7349;221004
7349;221002
17369;221001
17719;251001
17719;211114
35319;2510130
78209;10100
23659;251001
23659;251018
23659;251026
23659;211114
38529;251046
6819;251001
14299;251041
14319;211114
14319;271012
26789;221001
26799;221002
26799;221003
28059;221003
28059;221002
28079;221001
35929;211114
46569;211114
47589;211114
53929;211114
80779;251041
80779;211114
80779;2510117
80969;251029
80969;251037
80969;211114
80969;251031
80969;251001
80969;251018
80969;251020
80969;251026
80969;251040
82429;10100
